roi,policy,method,seed,N_budget,N_spawn,N_retained,retain_fraction,N_GT_evaluation_only,pred_to_gt,gt_to_pred,symmetric_chamfer,equal_cardinality_chamfer,normal_error,appearance_rmse,seam_error,fscore_0.5x,precision_0.5x,recall_0.5x,fscore_1.0x,precision_1.0x,recall_1.0x,fscore_2.0x,precision_2.0x,recall_2.0x,pruned_by
ramen_sample_012,hard,C1,0,133,133,133,1.0,186,0.006250729045822204,0.011382986779509682,0.008816857912665944,0.009061908022342614,42.12171173095703,0.5117984550817893,0.5806461110645503,0.034722222221725135,0.03759398496240601,0.03225806451612903,0.24213984045002424,0.3233082706766917,0.1935483870967742,0.5853469189709046,0.7819548872180451,0.46774193548387094,mls_residual<=0.0500
ramen_sample_013,hard,C1,0,197,197,126,0.6395939086294417,56,0.16206013143984305,0.11286744126261339,0.13746378635122822,0.14295056066030648,72.5737533569336,0.7141379403612661,0.6767033782464196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mls_residual<=0.0500
ramen_sample_014,hard,C1,0,72,72,72,1.0,95,0.011755849600789285,0.017051028108943253,0.014403438854866269,0.014686500595067532,54.51934814453125,0.42418202771630653,0.32408451167293034,0.047904191616275946,0.05555555555555555,0.042105263157894736,0.21133231240384515,0.3194444444444444,0.15789473684210525,0.5759605216773658,0.7916666666666666,0.45263157894736844,mls_residual<=0.0500
ramen_sample_015,hard,C1,0,94,94,94,1.0,60,0.016530512449150762,0.04206350658744779,0.029297009518299277,0.02870450893065479,63.34018325805664,0.5796163638660553,0.40271758658020773,0.0,0.0,0.0,0.0,0.0,0.0,0.05801104972353096,0.22340425531914893,0.03333333333333333,mls_residual<=0.0500
ramen_sample_016,hard,C1,0,133,133,133,1.0,177,0.009344096575418681,0.02451488427012486,0.01692949042277177,0.01727909400223592,51.76350402832031,0.5597524024416481,0.916379227324949,0.009512485136475702,0.03007518796992481,0.005649717514124294,0.06578709560788927,0.19548872180451127,0.03954802259887006,0.36379639137419084,0.9323308270676691,0.22598870056497175,mls_residual<=0.0500
ramen_sample_017,hard,C1,0,114,114,114,1.0,56,0.016894449631101646,0.029775739387009035,0.02333509450905534,0.02473828835975162,60.272647857666016,0.9211028605246749,0.5216500049684857,0.0,0.0,0.0,0.10775862068928453,0.21929824561403508,0.07142857142857142,0.3797468354426726,0.7894736842105263,0.25,mls_residual<=0.0500
ramen_sample_018,hard,C1,0,117,117,104,0.8888888888888888,56,0.018450320036482934,0.0325861105384237,0.02551821528745332,0.026275849588024938,26.194461822509766,0.5027155416310638,0.43624361197361233,0.022058823528939446,0.028846153846153848,0.017857142857142856,0.05208333333293837,0.09615384615384616,0.03571428571428571,0.559027777777343,0.875,0.4107142857142857,mls_residual<=0.0500
ramen_sample_019,hard,C1,0,61,61,61,1.0,56,0.01613864317211713,0.021462759831973904,0.01880070150204552,0.018899393059882124,25.892473220825195,0.6960383230142242,0.5683031678694584,0.034188034187535105,0.03278688524590164,0.03571428571428571,0.2655721873486687,0.4098360655737705,0.19642857142857142,0.8096590909085999,0.9344262295081968,0.7142857142857143,mls_residual<=0.0500
ramen_sample_020,hard,C1,0,37,37,35,0.9459459459459459,56,0.018984042105733918,0.030874733818358677,0.024929387962046298,0.02627952983696833,48.28396987915039,0.2551722077463511,0.00500823098963512,0.0,0.0,0.0,0.1174168297451465,0.17142857142857143,0.08928571428571429,0.6221899927479263,0.9428571428571428,0.4642857142857143,mls_residual<=0.0500
ramen_sample_021,hard,C1,0,86,86,84,0.9767441860465116,56,0.030388869421393013,0.019546865140266354,0.024967867280829684,0.02828975750862527,50.54485321044922,1.1941169349014285,1.1941169349014285,0.014285714285234286,0.011904761904761904,0.017857142857142856,0.06593406593363989,0.047619047619047616,0.10714285714285714,0.2727272727268099,0.21428571428571427,0.375,mls_residual<=0.0500
ramen_sample_022,hard,C1,0,183,183,183,1.0,59,0.041419291934510265,0.05406012016663737,0.047739706050573816,0.05404921417970836,53.622100830078125,1.9423159026964765,0.38201432851495826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mls_residual<=0.0500
roi_B_junction,hard,C3,0,53,53,53,1.0,53,0.0404981910796471,0.03748803476167607,0.038993112920661585,0.038993112920661585,26.552024841308594,1.6469345948624166,1.6488717615409982,0.0,0.0,0.0,0.09433962264100942,0.09433962264150944,0.09433962264150944,0.517324185248215,0.5471698113207547,0.49056603773584906,dist_boundary<=0.50
roi_C_layered,hard,C3,0,45,45,45,1.0,69,0.05281710074569726,0.020475221879876455,0.036646161312786855,0.036441777959402934,49.38664245605469,0.41106537587161274,0.5436039881878734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dist_boundary<=0.50
roi_D_curved_v2,hard,C3,0,47,47,16,0.3404255319148936,160,0.04024304706357535,0.05690181741321909,0.04857243223839722,0.06597319322176046,60.725528717041016,1.0364206980799102,1.1394416988778728,0.011363636363471073,0.0625,0.00625,0.03260869565194707,0.125,0.01875,0.23076923076887573,0.5,0.15,mls_residual<=0.0500
ramen_sample_001,hard,C3,0,57,57,57,1.0,56,0.016899905413756397,0.011718596726336992,0.014309251070046694,0.014419451702390833,45.36497497558594,0.854984422006971,0.8630896734580934,0.053097345132243394,0.05263157894736842,0.05357142857142857,0.35294117647009,0.3333333333333333,0.375,0.7092045699499323,0.6140350877192983,0.8392857142857143,dist_boundary<=0.50
ramen_sample_002,hard,C3,0,67,67,67,1.0,206,0.011370011470625097,0.006762116456046892,0.009066063963335995,0.010456711982320784,51.26350784301758,0.7400392362401091,0.7893337140029151,0.046697798531924926,0.07462686567164178,0.03398058252427184,0.24678885842063703,0.2835820895522388,0.21844660194174756,0.5419100754835917,0.47761194029850745,0.6262135922330098,dist_boundary<=0.50
ramen_sample_003,hard,C3,0,90,90,63,0.7,56,0.041195374569477514,0.03516502997938575,0.03818020227443163,0.03759091487758558,34.528953552246094,0.8914406387461913,0.8293476860397474,0.016806722688577358,0.015873015873015872,0.017857142857142856,0.12598425196800397,0.12698412698412698,0.125,0.4036504036499038,0.3968253968253968,0.4107142857142857,mls_residual<=0.0500
ramen_sample_004,hard,C3,0,26,26,26,1.0,56,0.04088943153026189,0.0315469357450178,0.036218183637639845,0.03757399012928021,64.51194763183594,1.0989721356877584,0.8784967804679695,0.02439024390200595,0.038461538461538464,0.017857142857142856,0.12631578947320024,0.15384615384615385,0.10714285714285714,0.5860465116274108,0.5384615384615384,0.6428571428571429,dist_boundary<=0.50
ramen_sample_005,hard,C3,0,88,88,88,1.0,56,0.05630126452054627,0.03941083540185386,0.04785604996120006,0.04979689361450948,59.81292724609375,0.7870461879298303,0.9473717571989766,0.0,0.0,0.0,0.01388888888841358,0.011363636363636364,0.017857142857142856,0.19042968749954176,0.14772727272727273,0.26785714285714285,dist_boundary<=0.50
ramen_sample_006,hard,C3,0,83,83,83,1.0,56,0.030138157893302236,0.019848145767400637,0.02499315183035144,0.027177160719536828,47.4532585144043,0.8140723262415591,0.7471044845873163,0.07194244604268434,0.060240963855421686,0.08928571428571429,0.22656597067923012,0.18072289156626506,0.30357142857142855,0.6931527464253993,0.5903614457831325,0.8392857142857143,dist_boundary<=0.50
ramen_sample_007,hard,C3,0,92,92,92,1.0,56,0.068054905541563,0.054425338426512884,0.06124012198403794,0.06085997297138522,25.927471160888672,0.42022040875681743,0.41726564542577277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dist_boundary<=0.50
ramen_sample_008,hard,C3,0,53,53,20,0.37735849056603776,56,0.05551718945008788,0.07487990154008746,0.06519854549508766,0.07269017611554449,56.419891357421875,1.360447376147243,1.0842193109240033,0.02631578947329639,0.05,0.017857142857142856,0.1764705882348789,0.3,0.125,0.4334600760451659,0.6,0.3392857142857143,mls_residual<=0.0500
ramen_sample_009,hard,C3,0,77,77,61,0.7922077922077922,56,0.05219631300554099,0.054753927185629374,0.05347512009558518,0.05263923960441744,59.12682342529297,0.7763143446768961,0.662311153045898,0.0,0.0,0.0,0.09287925696545313,0.08196721311475409,0.10714285714285714,0.2948402948397999,0.32786885245901637,0.26785714285714285,mls_residual<=0.0500
ramen_sample_010,hard,C3,0,112,112,112,1.0,128,0.019170934211059996,0.013204333027757073,0.016187633619408535,0.01658523918140615,59.16713333129883,1.2310187588506403,1.0364033774648713,0.036764705881868504,0.044642857142857144,0.03125,0.09166666666616889,0.09821428571428571,0.0859375,0.44891304347776123,0.4375,0.4609375,dist_boundary<=0.50
