benefit_metric,descriptor,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_q,spearman_r
delta_C1_chamfer,mean_normal_dispersion,25,0.07344381733132622,0.3266559412920575,0.36424620500151594,0.18147181209216093,0.48392483224576244,0.27615384615384614
delta_C1_equal_cardinality_chamfer,mean_normal_dispersion,25,0.15799626417092677,0.48392483224576244,0.2911134031050162,0.33401212685217296,0.6319897503924933,0.20153846153846153
delta_C1_fscore_2x,mean_normal_dispersion,25,0.1637207937130933,0.48392483224576244,0.28732897257312323,0.6675640298436701,0.8629362748292329,0.09034816377588656
delta_C1_gt_to_pred,mean_normal_dispersion,25,0.08794849559141998,0.35179398236567994,0.34831515578280897,0.17521838241225215,0.48392483224576244,0.27999999999999997
delta_C2_chamfer,mean_normal_dispersion,25,0.07344381733132622,0.3266559412920575,0.36424620500151594,0.18147181209216093,0.48392483224576244,0.27615384615384614
delta_C2_equal_cardinality_chamfer,mean_normal_dispersion,25,0.0963472094303532,0.3612746333985183,0.33997980789281174,0.10717356052084386,0.37954475368423357,0.33
delta_C2_fscore_2x,mean_normal_dispersion,25,0.1637207937130933,0.48392483224576244,0.28732897257312323,0.6675640298436701,0.8629362748292329,0.09034816377588656
delta_C2_gt_to_pred,mean_normal_dispersion,25,0.08794849559141998,0.35179398236567994,0.34831515578280897,0.17521838241225215,0.48392483224576244,0.27999999999999997
delta_C3_chamfer,mean_normal_dispersion,25,0.014867438040282892,0.14738155970367386,0.48125731715755793,0.06040566497226498,0.3152963818419895,0.3807692307692308
delta_C3_equal_cardinality_chamfer,mean_normal_dispersion,25,0.037771072406646455,0.26937660896888294,0.41764300466696547,0.09083602638147692,0.3540275899996024,0.3453846153846154
delta_C3_fscore_2x,mean_normal_dispersion,25,0.14501113983520109,0.46566957580881474,0.30007251714803995,0.3450514919972451,0.6396076437022105,0.19707473122119767
delta_C3_gt_to_pred,mean_normal_dispersion,25,0.016266394885824754,0.15781863974332103,0.47559575630427625,0.020447447955260815,0.18648072535197863,0.46076923076923076
delta_C1_chamfer,p95_normal_dispersion,25,0.10820354819945255,0.37954475368423357,0.3290901206481598,0.2993767800206251,0.6094455878991297,0.21615384615384614
delta_C1_equal_cardinality_chamfer,p95_normal_dispersion,25,0.12860609016816804,0.42922928142602396,0.3122527554861796,0.5677601210384973,0.8203402725837852,0.12
delta_C1_fscore_2x,p95_normal_dispersion,25,0.007752146314464852,0.14738155970367386,0.519708803789888,0.41472211161403777,0.685407218308456,0.1706576426877857
delta_C1_gt_to_pred,p95_normal_dispersion,25,0.31376479607002694,0.6220728130779665,0.209962812995486,0.4080380104040632,0.685407218308456,0.17307692307692307
delta_C2_chamfer,p95_normal_dispersion,25,0.10820354819945255,0.37954475368423357,0.3290901206481598,0.2993767800206251,0.6094455878991297,0.21615384615384614
