descriptor,benefit_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
mean_normal_dispersion,delta_C2_fscore_2x,0.28732897257312323,0.1637207937130933,0.09034816377588656,0.6675640298436701,25
mean_normal_dispersion,delta_C2_gt_to_pred,0.34831515578280897,0.08794849559141998,0.27999999999999997,0.17521838241225215,25
mean_normal_dispersion,delta_C3_chamfer,0.48125731715755793,0.014867438040282892,0.3807692307692308,0.06040566497226498,25
mean_normal_dispersion,delta_C3_equal_cardinality_chamfer,0.41764300466696547,0.037771072406646455,0.3453846153846154,0.09083602638147692,25
mean_normal_dispersion,delta_C3_fscore_2x,0.30007251714803995,0.14501113983520109,0.19707473122119767,0.3450514919972451,25
mean_normal_dispersion,delta_C3_gt_to_pred,0.47559575630427625,0.016266394885824754,0.46076923076923076,0.020447447955260815,25
p95_normal_dispersion,delta_C1_chamfer,0.3290901206481598,0.10820354819945255,0.21615384615384614,0.2993767800206251,25
p95_normal_dispersion,delta_C1_equal_cardinality_chamfer,0.3122527554861796,0.12860609016816804,0.12,0.5677601210384973,25
p95_normal_dispersion,delta_C1_fscore_2x,0.519708803789888,0.007752146314464852,0.1706576426877857,0.41472211161403777,25
p95_normal_dispersion,delta_C1_gt_to_pred,0.209962812995486,0.31376479607002694,0.17307692307692307,0.4080380104040632,25
p95_normal_dispersion,delta_C2_chamfer,0.3290901206481598,0.10820354819945255,0.21615384615384614,0.2993767800206251,25
p95_normal_dispersion,delta_C2_equal_cardinality_chamfer,0.29884575932800456,0.14674256331332738,0.29384615384615387,0.1539514856063788,25
p95_normal_dispersion,delta_C2_fscore_2x,0.519708803789888,0.007752146314464852,0.1706576426877857,0.41472211161403777,25
p95_normal_dispersion,delta_C2_gt_to_pred,0.209962812995486,0.31376479607002694,0.17307692307692307,0.4080380104040632,25
p95_normal_dispersion,delta_C3_chamfer,0.3890374981011979,0.054592946639182204,0.33692307692307694,0.09957253513328639,25
p95_normal_dispersion,delta_C3_equal_cardinality_chamfer,0.38923317809257385,0.054460856094756295,0.2815384615384615,0.17275952616715787,25
p95_normal_dispersion,delta_C3_fscore_2x,0.5059005092933198,0.009877325077301134,0.2571209383901563,0.21468828232273157,25
p95_normal_dispersion,delta_C3_gt_to_pred,0.26665764400292186,0.19756854703293178,0.36846153846153845,0.06993034335673072,25
semantic_entropy,delta_C1_chamfer,-0.12423243887722096,0.5540778960721623,-0.0015384615384615385,0.9941767167264197,25
semantic_entropy,delta_C1_equal_cardinality_chamfer,-0.17679055208885575,0.3978952922178987,0.0,1.0,25
semantic_entropy,delta_C1_fscore_2x,0.0253063718115616,0.9044255087291406,-0.10733670739186522,0.6095703502733028,25
semantic_entropy,delta_C1_gt_to_pred,-0.04923209427358152,0.8152183851580422,0.08923076923076922,0.6714489122271148,25
semantic_entropy,delta_C2_chamfer,-0.12423243887722096,0.5540778960721623,-0.0015384615384615385,0.9941767167264197,25
semantic_entropy,delta_C2_equal_cardinality_chamfer,-0.12474428669715698,0.5524335130421113,0.07461538461538461,0.7229855608267111,25
