method,group,descriptor,n,mean,median,std
C3,neutral,local_median_spacing,1,0.010425630987069813,0.010425630987069813,0.0
C3,neutral,density_ratio,1,0.9999414489611027,0.9999414489611027,0.0
C3,neutral,pca_eigenvalue_0,1,6.864963506814092e-05,6.864963506814092e-05,0.0
C3,neutral,pca_eigenvalue_1,1,0.0002402283571427688,0.0002402283571427688,0.0
C3,neutral,pca_eigenvalue_2,1,0.0005709116230718791,0.0005709116230718791,0.0
C3,neutral,estimated_curvature,1,0.08403133600950241,0.08403133600950241,0.0
C3,neutral,normal_confidence,1,0.9159687757492065,0.9159687757492065,0.0
C3,neutral,mean_normal_dispersion,1,27.77387237548828,27.77387237548828,0.0
C3,neutral,p95_normal_dispersion,1,83.2288818359375,83.2288818359375,0.0
C3,neutral,semantic_entropy,1,0.7646634578704834,0.7646634578704834,0.0
C3,neutral,semantic_purity,1,0.9841269841269841,0.9841269841269841,0.0
C3,neutral,number_of_semantic_ids,1,2.0,2.0,0.0
C3,neutral,graph_components_C0,1,1.0,1.0,0.0
C3,neutral,graph_components_C1,1,5.0,5.0,0.0
C3,neutral,graph_components_C3,1,7.0,7.0,0.0
C3,neutral,largest_component_fraction,1,0.753968253968254,0.753968253968254,0.0
C3,neutral,boundary_support_count,1,126.0,126.0,0.0
C3,neutral,estimated_missing_surface_area,1,0.032363307475122345,0.032363307475122345,0.0
C3,clearly_hurts,number_of_local_gaussians,11,348.45454545454544,323.0,194.73588810412545
C3,clearly_hurts,local_median_spacing,11,0.010425837838843731,0.01042568125184018,6.275287924752074e-07
C3,clearly_hurts,density_ratio,11,0.9998819544531009,0.9999269861407535,0.00018053416998477478
C3,clearly_hurts,pca_eigenvalue_0,11,0.0002031629135837482,9.160797344520688e-05,0.0002516181627423233
C3,clearly_hurts,pca_eigenvalue_1,11,0.0004712784006683664,0.000267791619990021,0.0005718466018894408
C3,clearly_hurts,pca_eigenvalue_2,11,0.0011208376738729633,0.0005832624738104641,0.0013477478265047553
C3,clearly_hurts,estimated_curvature,11,0.11117544583976269,0.1167694479227066,0.03690809485702703
C3,clearly_hurts,normal_confidence,11,0.888824544169686,0.8832305073738098,0.03690807730456526
C3,clearly_hurts,mean_normal_dispersion,11,42.65545264157382,44.03582000732422,14.600014367140195
C3,clearly_hurts,p95_normal_dispersion,11,77.71253273703836,84.05613708496094,15.858625913067566
C3,clearly_hurts,semantic_entropy,11,1.4193359342488376,1.3892300128936768,0.2750308586383533
C3,clearly_hurts,semantic_purity,11,0.6854080528807691,0.6530612244897959,0.2610259182894391
C3,clearly_hurts,number_of_semantic_ids,11,4.818181818181818,4.0,3.459326834625536
C3,clearly_hurts,graph_components_C0,11,1.0,1.0,0.0
C3,clearly_hurts,graph_components_C1,11,8.818181818181818,8.0,5.572957135997855
C3,clearly_hurts,graph_components_C3,11,54.36363636363637,20.0,78.80732860161112
C3,clearly_hurts,largest_component_fraction,11,0.5040725760509728,0.46938775510204084,0.28430882020698645
C3,clearly_hurts,boundary_support_count,11,226.8181818181818,144.0,195.02252465796596
C3,clearly_hurts,estimated_missing_surface_area,11,0.028830137358446604,0.016641769273955543,0.03313266445454544
