scene,roi,known_case,method,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt_mean,gt_to_pred_mean,symmetric_chamfer,equal_cardinality_count,equal_cardinality_pred_to_gt,equal_cardinality_gt_to_pred,equal_cardinality_chamfer,normal_angular_error,appearance_rmse,boundary_seam_error,precision_0p5,recall_0p5,fscore_0p5,precision_1p0,recall_1p0,fscore_1p0,precision_2p0,recall_2p0,fscore_2p0,runtime_s
ramen,roi_D_curved_v2,True,C2,47,47,160,0.035128399768726386,0.039924543899683966,0.037526471834205176,47,0.04623705060341684,0.03946986136442169,0.042853455983919264,61.657630920410156,1.2485141757010982,1.2763124857830968,0.02127659574468085,0.00625,0.009661835748441271,0.10638297872340426,0.0375,0.0554528650643096,0.3829787234042553,0.1875,0.2517482517478105,3.8003883361816406
ramen,roi_D_curved_v2,True,C3,47,47,160,0.035128399768726386,0.039924543899683966,0.037526471834205176,47,0.04533361268676122,0.04219319322023373,0.043763402953497475,61.657630920410156,1.2485141757010982,1.2763124857830968,0.02127659574468085,0.00625,0.009661835748441271,0.10638297872340426,0.0375,0.0554528650643096,0.3829787234042553,0.1875,0.2517482517478105,3.786046028137207
ramen,ramen_sample_001,False,C0,57,57,56,0.012025198033970319,0.021479695178982607,0.016752446606476463,56,0.012110892743173816,0.021486498279759687,0.016798695511466753,54.8961067199707,0.4396227895999534,0.2828709458919538,0.0,0.0,0.0,0.24561403508771928,0.03571428571428571,0.06236080178151553,1.0,0.5,0.6666666666662222,3.8368406295776367
ramen,ramen_sample_001,False,C1,57,57,56,0.014955763237735323,0.021529867018514542,0.018242815128124933,56,0.015064685995510172,0.021529867018514542,0.018297276507012357,48.02137756347656,0.5849389623913096,0.3571127378322754,0.0,0.0,0.0,0.2807017543859649,0.05357142857142857,0.08997188378604763,0.8947368421052632,0.4642857142857143,0.6113416320880701,3.7636501789093018
ramen,ramen_sample_001,False,C2,57,57,56,0.014955763237735323,0.021529867018514542,0.018242815128124933,56,0.015050417377283404,0.02153823984147888,0.01829432860938114,48.02137756347656,0.5958335068267745,0.4569094120878594,0.0,0.0,0.0,0.2807017543859649,0.05357142857142857,0.08997188378604763,0.8947368421052632,0.4642857142857143,0.6113416320880701,3.8686039447784424
ramen,ramen_sample_001,False,C3,57,57,56,0.016899905413756397,0.011718596726336992,0.014309251070046694,56,0.016786188714612828,0.011718596726336992,0.01425239272047491,45.36497497558594,0.854984422006971,0.8630896734580934,0.10526315789473684,0.125,0.11428571428521796,0.42105263157894735,0.48214285714285715,0.4495317377726552,0.7017543859649122,0.8928571428571429,0.7858546168953814,3.8764493465423584
ramen,ramen_sample_002,False,C0,67,67,206,0.0036906527688618414,0.007797117480302233,0.005743885124582037,67,0.005082314146039433,0.0077844623053980365,0.006433388225718735,52.0365104675293,0.7746261360548495,0.3678264972769535,0.7761194029850746,0.3592233009708738,0.4911295469044812,1.0,0.7378640776699029,0.8491620111726956,1.0,0.9805825242718447,0.9901960784308725,3.8470513820648193
ramen,ramen_sample_002,False,C1,67,67,206,0.00806129645707002,0.006686381671682735,0.007373839064376378,67,0.009256546792190264,0.006504088380852245,0.007880317586521255,54.89713668823242,0.7073050570871828,0.5086244446898319,0.7164179104477612,0.46116504854368934,0.5611271765207811,0.8208955223880597,0.8252427184466019,0.8230633802811901,0.8656716417910447,0.9951456310679612,0.925904294669128,4.9646522998809814
ramen,ramen_sample_002,False,C2,67,67,206,0.00806129645707002,0.006686381671682735,0.007373839064376378,67,0.009413846558459798,0.006570823236971471,0.007992334897715635,54.89713668823242,0.6951262791334496,0.615230445685675,0.7164179104477612,0.46116504854368934,0.5611271765207811,0.8208955223880597,0.8252427184466019,0.8230633802811901,0.8656716417910447,0.9951456310679612,0.925904294669128,3.8541812896728516
ramen,ramen_sample_002,False,C3,67,67,206,0.011370011470625097,0.006762116456046892,0.009066063963335995,67,0.012962907421365449,0.006702788824938167,0.009832848123151808,51.26350784301758,0.7400392362401091,0.7893337140029151,0.3582089552238806,0.38349514563106796,0.3704210217832263,0.6417910447761194,0.8446601941747572,0.7293819457979105,0.8805970149253731,1.0,0.9365079365074385,3.8966879844665527
ramen,ramen_sample_003,False,C0,90,90,56,0.026862610358447996,0.0702127976133414,0.0485377039858947,56,0.02520266296678523,0.0705433123153106,0.047872987641047915,32.14541244506836,0.8888567324532387,0.866902901397451,0.0,0.0,0.0,0.044444444444444446,0.017857142857142856,0.025477707005960484,0.34444444444444444,0.08928571428571429,0.1418115279045221,3.884519338607788
ramen,ramen_sample_003,False,C1,90,90,56,0.026452911116455195,0.04295834841169526,0.03470562976407523,56,0.026765778047406645,0.05249308700973349,0.03962943252857007,28.815654754638672,0.6815147600629643,0.7021155164813855,0.011111111111111112,0.017857142857142856,0.013698630136513417,0.07777777777777778,0.03571428571428571,0.04895104895061764,0.25555555555555554,0.17857142857142858,0.21023765996295266,3.857614517211914
