roi,policy,method,seed,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt,gt_to_pred,symmetric_chamfer,equal_cardinality_chamfer,normal_error,appearance_rmse,seam_error,runtime_s,fscore_0.5x,precision_0.5x,recall_0.5x,fscore_1.0x,precision_1.0x,recall_1.0x,fscore_2.0x,precision_2.0x,recall_2.0x,policy_name
ramen_sample_014,soft,C2,0,72,72,95,0.010300530976320645,0.015088962632647357,0.012694746804484,0.012662216157631155,54.30409240722656,0.24702542465643104,0.5035058507368796,3.2822976112365723,0.06615214994437434,0.06944444444444445,0.06315789473684211,0.2574257425737987,0.3611111111111111,0.2,0.6878523833926493,0.8472222222222222,0.5789473684210527,GLOBAL-SOFT
ramen_sample_014,soft,C3,0,72,72,95,0.009116711592666237,0.014032906888444906,0.01157480924055557,0.011696767618174054,46.03624725341797,0.24454477177208458,0.4405358730965568,3.302064895629883,0.07150153217518992,0.06944444444444445,0.07368421052631578,0.33057851239622704,0.4444444444444444,0.2631578947368421,0.7493462831523042,0.9444444444444444,0.6210526315789474,GLOBAL-SOFT
ramen_sample_015,soft,C0,0,94,94,60,0.016379499132924902,0.0424999283992322,0.029439713766078554,0.029406954458863113,63.63125991821289,0.5059040379200734,0.31129637570748847,3.271867275238037,0.0,0.0,0.0,0.0,0.0,0.0,0.05973451327414994,0.2872340425531915,0.03333333333333333,GLOBAL-SOFT
ramen_sample_015,soft,C1,0,94,94,60,0.016379499132924902,0.0424999283992322,0.029439713766078554,0.029406954458863113,63.63125991821289,0.5273266953922111,0.32745864179895257,3.2703652381896973,0.0,0.0,0.0,0.0,0.0,0.0,0.05973451327414994,0.2872340425531915,0.03333333333333333,GLOBAL-SOFT
ramen_sample_015,soft,C2,0,94,94,60,0.016379499132924902,0.0424999283992322,0.029439713766078554,0.029406954458863113,63.63125991821289,0.7957344192374911,0.608361174018073,3.266594409942627,0.0,0.0,0.0,0.0,0.0,0.0,0.05973451327414994,0.2872340425531915,0.03333333333333333,GLOBAL-SOFT
ramen_sample_015,soft,C3,0,94,94,60,0.02431798357634493,0.018839224638561067,0.021578604107453,0.021971915895147173,66.11351776123047,0.7413216920546433,0.7914446453165124,3.2672488689422607,0.0,0.0,0.0,0.03896103896056333,0.031914893617021274,0.05,0.16901408450659475,0.1276595744680851,0.25,GLOBAL-SOFT
ramen_sample_016,soft,C0,0,133,133,177,0.008814996541982562,0.02619188353481837,0.017503440038400465,0.017598319358941978,49.85036087036133,0.517797863409844,0.8398548072784164,3.203394889831543,0.008213552360999271,0.015037593984962405,0.005649717514124294,0.0583941605837027,0.21052631578947367,0.03389830508474576,0.3448840187843987,0.9849624060150376,0.20903954802259886,GLOBAL-SOFT
ramen_sample_016,soft,C1,0,133,133,177,0.008814996541982562,0.02619188353481837,0.017503440038400465,0.017598319358941978,49.85036087036133,0.5094380769902837,0.8417455661789568,3.284930467605591,0.008213552360999271,0.015037593984962405,0.005649717514124294,0.0583941605837027,0.21052631578947367,0.03389830508474576,0.3448840187843987,0.9849624060150376,0.20903954802259886,GLOBAL-SOFT
ramen_sample_016,soft,C2,0,133,133,177,0.008814996541982562,0.02619188353481837,0.017503440038400465,0.017598319358941978,49.85036087036133,0.6193383104290955,1.2385632804095887,3.395956516265869,0.008213552360999271,0.015037593984962405,0.005649717514124294,0.0583941605837027,0.21052631578947367,0.03389830508474576,0.3448840187843987,0.9849624060150376,0.20903954802259886,GLOBAL-SOFT
ramen_sample_016,soft,C3,0,133,133,177,0.014194542587260689,0.011181854004456508,0.0126881982958586,0.013396506034629838,62.42207336425781,0.8302499279048504,0.946899603336844,3.458247661590576,0.05806451612854233,0.06766917293233082,0.05084745762711865,0.23498279968196775,0.2781954887218045,0.2033898305084746,0.7110049275790132,0.6992481203007519,0.7231638418079096,GLOBAL-SOFT
